일,대여 대여소명개,주말평일구분
1,173591,주말
2,159697,주말
3,193053,평일
4,199666,평일
5,198583,평일
6,155017,평일
7,181310,평일
8,112297,주말
9,149146,주말
10,190224,평일
11,190585,평일
12,191038,평일
13,185467,평일
14,189944,평일
15,139913,주말
16,143645,주말
17,189298,평일
18,190082,평일
19,181663,평일
20,180959,평일
21,186124,평일
22,62003,주말
23,110471,주말
24,182858,평일
25,200205,평일
26,192192,평일
27,189922,평일
28,183350,평일
29,102866,주말
30,99161,주말
