일,대여 대여소명개,주말평일구분
1,46525,평일
2,56406,주말
3,67584,주말
4,111299,평일
5,113837,평일
6,120077,평일
7,100894,평일
8,102487,평일
9,80520,주말
10,83820,주말
11,117935,평일
12,82157,평일
13,124399,평일
14,130647,평일
15,134727,평일
16,122311,주말
17,90798,주말
18,127068,평일
19,105665,평일
20,115264,평일
21,125493,평일
22,83840,평일
23,128626,주말
24,147852,주말
25,60341,평일
26,90522,평일
27,145906,평일
28,91081,평일
29,95119,평일
30,115805,주말
31,131051,주말
