시간대단위,대여일시개
0,45837
1,34291
2,24052
3,17484
4,14546
5,26198
6,52624
7,129546
8,207258
9,113506
10,87517
11,97872
12,106280
13,108248
14,113811
15,124850
16,141314
17,178581
18,205821
19,129849
20,100062
21,90503
22,76152
23,51717
