일,대여 대여소명개,주말평일구분
1,58684,주말
2,100397,평일
3,94719,평일
4,97369,평일
5,83585,평일
6,92782,평일
7,66487,주말
8,50135,주말
9,89580,평일
10,95372,평일
11,98558,평일
12,91968,평일
13,89567,평일
14,64498,주말
15,51245,주말
16,78052,평일
17,83416,평일
18,76135,평일
19,79364,평일
20,80205,평일
21,39453,주말
22,37978,주말
23,76141,평일
24,77782,평일
25,45245,평일
26,69108,평일
27,68332,평일
28,45729,주말
29,43612,주말
30,79479,평일
31,72942,평일
