일,대여 대여소명개,주말평일구분
1,48927,평일
2,89691,평일
3,74474,평일
4,93416,평일
5,97979,평일
6,59055,주말
7,32920,주말
8,67260,평일
9,39401,평일
10,71631,평일
11,84444,평일
12,86810,평일
13,66225,주말
14,29982,주말
15,72929,평일
16,81422,평일
17,37840,평일
18,78568,평일
19,93429,평일
20,43165,주말
21,38277,주말
22,50137,평일
23,45183,평일
24,52637,평일
25,64439,평일
26,77438,평일
27,59662,주말
28,50029,주말
29,81334,평일
30,89385,평일
31,95804,평일
