일,대여 대여소명개,주말평일구분
1,154789,평일
2,173218,평일
3,157061,평일
4,174305,평일
5,181191,평일
6,166152,주말
7,160750,주말
8,171080,평일
9,180514,평일
10,158335,평일
11,163933,평일
12,184146,평일
13,168619,주말
14,152896,주말
15,64522,평일
16,126106,평일
17,168806,평일
18,175744,평일
19,181793,평일
20,42622,주말
21,134318,주말
22,182361,평일
23,156313,평일
24,112963,평일
25,176024,평일
26,186288,평일
27,167428,주말
28,153389,주말
29,185981,평일
30,188661,평일
