일,대여 대여소명개,주말평일구분
1,182407,평일
2,39423,평일
3,164917,평일
4,158337,평일
5,170993,평일
6,95363,주말
7,82462,주말
8,49088,평일
9,131038,평일
10,157081,평일
11,176881,평일
12,178473,평일
13,132044,주말
14,116653,주말
15,166494,평일
16,94003,평일
17,52001,평일
18,42867,평일
19,158621,평일
20,84490,주말
21,97479,주말
22,85676,평일
23,113318,평일
24,126759,평일
25,131192,평일
26,117452,평일
27,76401,주말
28,102034,주말
29,138818,평일
30,150508,평일
31,149866,평일
