일,대여 대여소명개,주말평일구분
1,145486,평일
2,140153,평일
3,105222,주말
4,89613,주말
5,123156,평일
6,136539,평일
7,141041,평일
8,137395,평일
9,139483,평일
10,114530,주말
11,99629,주말
12,143228,평일
13,134073,평일
14,132729,평일
15,102409,평일
16,140849,평일
17,105962,주말
18,93508,주말
19,143003,평일
20,146663,평일
21,73097,평일
22,125877,평일
23,151307,평일
24,105513,주말
25,101722,주말
26,142235,평일
27,149070,평일
28,166240,평일
29,166666,평일
30,167332,평일
31,134541,주말
