일,대여 대여소명개,주말평일구분
1,187713,평일
2,192006,평일
3,196468,평일
4,162236,주말
5,14803,주말
6,26706,평일
7,76008,평일
8,183181,평일
9,184125,평일
10,195243,평일
11,64192,주말
12,153309,주말
13,188906,평일
14,198430,평일
15,56366,평일
16,177689,평일
17,196964,평일
18,176165,주말
19,157798,주말
20,184025,평일
21,192131,평일
22,192485,평일
23,191482,평일
24,195660,평일
25,173276,주말
26,64870,주말
27,185189,평일
28,199434,평일
29,195623,평일
30,193041,평일
31,192306,평일
