일,대여 대여소명개,주말평일구분
1,125168,주말
2,153794,평일
3,178905,평일
4,176850,평일
5,142474,평일
6,150537,평일
7,148976,주말
8,131430,주말
9,170528,평일
10,169982,평일
11,154081,평일
12,62022,평일
13,75825,평일
14,115906,주말
15,102885,주말
16,89288,평일
17,79401,평일
18,101366,평일
19,155488,평일
20,49128,평일
21,112108,주말
22,159563,주말
23,188295,평일
24,191167,평일
25,187730,평일
26,176100,평일
27,191572,평일
28,168997,주말
29,154565,주말
30,186557,평일
