일,대여 대여소명개,주말평일구분
1,131748,평일
2,176839,평일
3,154004,평일
4,181960,평일
5,165475,주말
6,108635,주말
7,173885,평일
8,182681,평일
9,160339,평일
10,180123,평일
11,189281,평일
12,161684,주말
13,142163,주말
14,171312,평일
15,155619,평일
16,181097,평일
17,181160,평일
18,78684,평일
19,130845,주말
20,122488,주말
21,154414,평일
22,26820,평일
23,143678,평일
24,159376,평일
25,166456,평일
26,145496,주말
27,110954,주말
28,159280,평일
29,154503,평일
30,167862,평일
31,167814,평일
