일,대여 대여소명개,주말평일구분
1,94236,평일
2,97692,평일
3,69843,주말
4,75398,주말
5,29119,평일
6,77983,평일
7,86243,평일
8,90598,평일
9,48388,평일
10,35426,주말
11,44339,주말
12,67716,평일
13,108884,평일
14,127297,평일
15,58115,평일
16,103469,평일
17,92575,주말
18,40414,주말
19,41446,평일
20,56697,평일
21,10076,평일
22,30867,평일
23,78765,평일
24,57788,주말
25,51440,주말
26,101612,평일
27,107453,평일
28,112216,평일
29,105034,평일
